person,personLabel,birthDate,genderLabel,partyLabel,start,end,positionLabel,cityLabel
http://www.wikidata.org/entity/Q295318,Anton Cermak,1873-05-09T00:00:00Z,male,Democratic Party,1931-04-07T00:00:00Z,1933-03-06T00:00:00Z,Mayor of Chicago,Chicago
http://www.wikidata.org/entity/Q4121154,Ardolph L. Kline,1858-02-21T00:00:00Z,male,Republican Party,1913-09-10T00:00:00Z,1913-12-31T00:00:00Z,Mayor of New York City,New York City
http://www.wikidata.org/entity/Q30539593,Arthur W. Brady,1865-01-13T00:00:00Z,male,Democratic Party,1891-01-01T00:00:00Z,1895-01-01T00:00:00Z,"Mayor of Muncie, Indiana",Muncie
http://www.wikidata.org/entity/Q47545671,Ashton Hayward,1969-04-15T00:00:00Z,male,Republican Party,2011-01-10T00:00:00Z,2018-11-27T00:00:00Z,Mayor of Pensacola,Pensacola
http://www.wikidata.org/entity/Q3246835,Augustus Garrett,1801-01-01T00:00:00Z,male,Democratic Party,1843-01-01T00:00:00Z,1844-01-01T00:00:00Z,Mayor of Chicago,Chicago
http://www.wikidata.org/entity/Q3246835,Augustus Garrett,1801-01-01T00:00:00Z,male,Democratic Party,1843-01-01T00:00:00Z,1846-01-01T00:00:00Z,Mayor of Chicago,Chicago
http://www.wikidata.org/entity/Q3246835,Augustus Garrett,1801-01-01T00:00:00Z,male,Democratic Party,1845-01-01T00:00:00Z,1844-01-01T00:00:00Z,Mayor of Chicago,Chicago
http://www.wikidata.org/entity/Q3246835,Augustus Garrett,1801-01-01T00:00:00Z,male,Democratic Party,1845-01-01T00:00:00Z,1846-01-01T00:00:00Z,Mayor of Chicago,Chicago
http://www.wikidata.org/entity/Q4823167,Austin Letheridge Bender,1916-06-06T00:00:00Z,male,Democratic Party,1969-01-01T00:00:00Z,1971-01-26T00:00:00Z,Mayor of Chattanooga,Chattanooga
http://www.wikidata.org/entity/Q100545891,Austin Quinn-Davidson,1979-01-01T00:00:00Z,female,independent politician,2020-10-23T00:00:00Z,2021-07-01T00:00:00Z,"Mayor of Anchorage, Alaska",Anchorage
http://www.wikidata.org/entity/Q22907293,Bao Nguyen,1980-01-01T00:00:00Z,male,Democratic Party,2014-12-09T00:00:00Z,2016-12-13T00:00:00Z,"Mayor of Garden Grove, California",Garden Grove
http://www.wikidata.org/entity/Q13562487,Barbara Bass,1954-01-29T00:00:00Z,female,Republican Party,2008-05-01T00:00:00Z,2014-05-01T00:00:00Z,"Mayor of Tyler, Texas",Tyler
http://www.wikidata.org/entity/Q4864188,Barry E. DuVal,1959-08-07T00:00:00Z,male,Republican Party,1990-07-01T00:00:00Z,1996-06-30T00:00:00Z,"Mayor of Newport News, Virginia",Newport News
http://www.wikidata.org/entity/Q4885318,Ben Boo,1925-01-21T00:00:00Z,male,Republican Party of Minnesota,1967-01-01T00:00:00Z,1975-01-01T00:00:00Z,"Mayor of Duluth, Minnesota",Duluth
http://www.wikidata.org/entity/Q4886138,Ben McAdams,1974-12-05T00:00:00Z,male,Democratic Party,2013-01-07T00:00:00Z,2019-01-02T00:00:00Z,"Mayor of Salt Lake City, Utah",Salt Lake City
http://www.wikidata.org/entity/Q4886138,Ben McAdams,1974-12-05T00:00:00Z,male,Utah Democratic Party,2013-01-07T00:00:00Z,2019-01-02T00:00:00Z,"Mayor of Salt Lake City, Utah",Salt Lake City
http://www.wikidata.org/entity/Q817526,Benjamin H. Bunn,1844-10-19T00:00:00Z,male,Democratic Party,1867-01-01T00:00:00Z,1867-01-01T00:00:00Z,"Mayor of Rocky Mount, North Carolina",Rocky Mount
http://www.wikidata.org/entity/Q4892969,Bernard C. Young,1954-06-26T00:00:00Z,male,Democratic Party,2019-05-02T00:00:00Z,2020-12-08T00:00:00Z,Mayor of Baltimore,Baltimore
http://www.wikidata.org/entity/Q16193989,Bernard Carvalho,1961-09-29T00:00:00Z,male,Democratic Party,2008-12-01T00:00:00Z,2018-12-03T00:00:00Z,Mayor of Kauai,Kauai County
http://www.wikidata.org/entity/Q4893258,Bernard J. Berry,1913-07-03T00:00:00Z,male,Democratic Party,1953-12-15T00:00:00Z,1957-06-30T00:00:00Z,"Mayor of Jersey City, New Jersey",Jersey City
http://www.wikidata.org/entity/Q4893541,Bernard Pratte,1803-12-17T00:00:00Z,male,Whig Party,1844-01-01T00:00:00Z,1846-01-01T00:00:00Z,Mayor of St. Louis,St. Louis
http://www.wikidata.org/entity/Q359442,Bernie Sanders,1941-09-08T00:00:00Z,male,Democratic Party,1981-04-06T00:00:00Z,1989-04-04T00:00:00Z,"Mayor of Burlington, Vermont",Burlington
http://www.wikidata.org/entity/Q359442,Bernie Sanders,1941-09-08T00:00:00Z,male,independent politician,1981-04-06T00:00:00Z,1989-04-04T00:00:00Z,"Mayor of Burlington, Vermont",Burlington
http://www.wikidata.org/entity/Q359442,Bernie Sanders,1941-09-08T00:00:00Z,male,Liberty Union Party,1981-04-06T00:00:00Z,1989-04-04T00:00:00Z,"Mayor of Burlington, Vermont",Burlington
http://www.wikidata.org/entity/Q4897496,Beth Finch,1921-01-01T00:00:00Z,female,Democratic Party,1975-01-01T00:00:00Z,1981-01-01T00:00:00Z,"Mayor of Fayetteville, North Carolina",Fayetteville
http://www.wikidata.org/entity/Q66309702,Beth Van Duyne,1970-11-16T00:00:00Z,female,Republican Party,2011-01-01T00:00:00Z,2017-05-01T00:00:00Z,"Mayor of Irving, Texas",Irving
http://www.wikidata.org/entity/Q16207779,Betsy Hodges,1969-09-07T00:00:00Z,female,Democratic Party,2014-01-02T00:00:00Z,2017-12-31T00:00:00Z,Mayor of Minneapolis,Minneapolis
http://www.wikidata.org/entity/Q16207779,Betsy Hodges,1969-09-07T00:00:00Z,female,Minnesota Democratic–Farmer–Labor Party,2014-01-02T00:00:00Z,2017-12-31T00:00:00Z,Mayor of Minneapolis,Minneapolis
http://www.wikidata.org/entity/Q4898315,Betsy Price,1949-10-21T00:00:00Z,female,Republican Party,2011-07-12T00:00:00Z,2021-06-15T00:00:00Z,"Mayor of Fort Worth, Texas",Fort Worth
http://www.wikidata.org/entity/Q13562557,Betty Marshall,1918-01-01T00:00:00Z,female,Democratic Party,1978-01-01T00:00:00Z,1982-01-01T00:00:00Z,"Mayor of York, Pennsylvania",York
http://www.wikidata.org/entity/Q13562557,Betty Marshall,1918-12-17T00:00:00Z,female,Democratic Party,1978-01-01T00:00:00Z,1982-01-01T00:00:00Z,"Mayor of York, Pennsylvania",York
http://www.wikidata.org/entity/Q4908095,Bill Bell,1941-01-01T00:00:00Z,male,Democratic Party,2001-01-01T00:00:00Z,2017-01-01T00:00:00Z,"Mayor of Durham, North Carolina",Durham
http://www.wikidata.org/entity/Q4908401,Bill Campbell,1953-01-01T00:00:00Z,male,Democratic Party,1994-01-01T00:00:00Z,2002-01-07T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta
http://www.wikidata.org/entity/Q862186,Bill Haslam,1958-08-23T00:00:00Z,male,Republican Party,2003-12-20T00:00:00Z,2011-01-10T00:00:00Z,"Mayor of Knoxville, Tennessee",Knoxville
http://www.wikidata.org/entity/Q529090,Bill Pascrell,1937-01-25T00:00:00Z,male,Democratic Party,1990-01-01T00:00:00Z,1996-01-01T00:00:00Z,"Mayor of Paterson, New Jersey",Paterson
http://www.wikidata.org/entity/Q4910457,Bill Peduto,1964-10-30T00:00:00Z,male,Democratic Party,2014-01-06T00:00:00Z,2022-01-03T00:00:00Z,"Mayor of Pittsburgh, Pennsylvania",Pittsburgh
http://www.wikidata.org/entity/Q4911238,Bill Vidal,1951-07-19T00:00:00Z,male,Democratic Party,2011-01-12T00:00:00Z,2011-07-18T00:00:00Z,"Mayor of Denver, Colorado",Denver
http://www.wikidata.org/entity/Q862661,Bill White,1954-06-16T00:00:00Z,male,Democratic Party,2004-01-02T00:00:00Z,2010-01-02T00:00:00Z,Mayor of Houston,Houston
http://www.wikidata.org/entity/Q16983687,Bill Workman,1940-07-03T00:00:00Z,male,Republican Party,1983-06-13T00:00:00Z,1995-12-11T00:00:00Z,"Mayor of Greenville, South Carolina",Greenville
http://www.wikidata.org/entity/Q4911497,Bill de Blasio,1961-05-08T00:00:00Z,male,Democratic Party,2014-01-01T00:00:00Z,2022-01-01T00:00:00Z,Mayor of New York City,New York City
http://www.wikidata.org/entity/Q4845296,Bob Buckhorn,1958-07-29T00:00:00Z,male,Democratic Party,2011-04-01T00:00:00Z,2019-05-01T00:00:00Z,"Mayor of Tampa, Florida",Tampa
http://www.wikidata.org/entity/Q4932031,Bob Cashell,1938-04-22T00:00:00Z,male,Republican Party,2002-11-13T00:00:00Z,2014-11-12T00:00:00Z,"Mayor of Reno, Nevada",Reno
http://www.wikidata.org/entity/Q4932031,Bob Cashell,1938-04-22T00:00:00Z,male,Democratic Party,2002-11-13T00:00:00Z,2014-11-12T00:00:00Z,"Mayor of Reno, Nevada",Reno
http://www.wikidata.org/entity/Q4225155,Bob Coble,1953-04-27T00:00:00Z,male,Democratic Party,1990-01-01T00:00:00Z,2010-01-01T00:00:00Z,"Mayor of Columbia, South Carolina",Columbia
http://www.wikidata.org/entity/Q331719,Bob Corker,1952-08-24T00:00:00Z,male,Republican Party,2001-04-16T00:00:00Z,2005-04-18T00:00:00Z,Mayor of Chattanooga,Chattanooga
http://www.wikidata.org/entity/Q388356,Bob Filner,1942-09-04T00:00:00Z,male,Democratic Party,2012-12-03T00:00:00Z,2013-08-30T00:00:00Z,Mayor of San Diego,San Diego
http://www.wikidata.org/entity/Q4933043,Bob Kiss,1947-04-01T00:00:00Z,male,Vermont Progressive Party,2006-04-01T00:00:00Z,2012-04-01T00:00:00Z,"Mayor of Burlington, Vermont",Burlington
http://www.wikidata.org/entity/Q4933111,Bob Lanier,1925-03-10T00:00:00Z,male,Democratic Party,1992-01-02T00:00:00Z,1998-01-02T00:00:00Z,Mayor of Houston,Houston
http://www.wikidata.org/entity/Q888132,Bob Menendez,1954-01-01T00:00:00Z,male,Democratic Party,1986-05-20T00:00:00Z,1992-11-15T00:00:00Z,"Mayor of Union City, New Jersey",Union City
http://www.wikidata.org/entity/Q888181,Bob O'Connor,1944-12-09T00:00:00Z,male,Democratic Party,2006-01-03T00:00:00Z,2006-09-01T00:00:00Z,"Mayor of Pittsburgh, Pennsylvania",Pittsburgh
http://www.wikidata.org/entity/Q753365,Brand Whitlock,1869-03-04T00:00:00Z,male,Democratic Party,1906-01-01T00:00:00Z,1914-01-01T00:00:00Z,"Mayor of Toledo, Ohio",Toledo
http://www.wikidata.org/entity/Q4961955,Bret Schundler,1959-01-14T00:00:00Z,male,Republican Party,1992-11-11T00:00:00Z,2001-06-30T00:00:00Z,"Mayor of Jersey City, New Jersey",Jersey City
http://www.wikidata.org/entity/Q4961955,Bret Schundler,1959-01-14T00:00:00Z,male,Democratic Party,1992-11-11T00:00:00Z,2001-06-30T00:00:00Z,"Mayor of Jersey City, New Jersey",Jersey City
http://www.wikidata.org/entity/Q109339828,Brooks Harper,1938-08-23T00:00:00Z,male,Republican Party,1991-03-22T00:00:00Z,1991-12-31T00:00:00Z,"Mayor of Marietta, Ohio",Marietta
http://www.wikidata.org/entity/Q3645452,Bruce Botelho,1948-10-06T00:00:00Z,male,Democratic Party,1988-10-01T00:00:00Z,1991-10-01T00:00:00Z,"Mayor of Juneau, Alaska",Juneau
http://www.wikidata.org/entity/Q3645452,Bruce Botelho,1948-10-06T00:00:00Z,male,Democratic Party,2003-10-27T00:00:00Z,2012-10-11T00:00:00Z,"Mayor of Juneau, Alaska",Juneau
http://www.wikidata.org/entity/Q4977662,Bruce Hoblitzell,1887-06-25T00:00:00Z,male,Democratic Party,1957-01-01T00:00:00Z,1961-01-01T00:00:00Z,"Mayor of Louisville, Kentucky",Louisville
http://www.wikidata.org/entity/Q4980549,Bryant Baxter Newcomb,1867-08-22T00:00:00Z,male,Republican Party,1912-01-01T00:00:00Z,1916-01-01T00:00:00Z,"Mayor of Long Branch, New Jersey",Long Branch
http://www.wikidata.org/entity/Q4982927,Buck Rinehart,1946-02-24T00:00:00Z,male,Republican Party,1984-01-01T00:00:00Z,1992-01-01T00:00:00Z,"Mayor of Columbus, Ohio",Columbus
http://www.wikidata.org/entity/Q4983811,Bud Clark,1931-12-19T00:00:00Z,male,Democratic Party,1985-01-03T00:00:00Z,1992-12-31T00:00:00Z,"Mayor of Portland, Oregon",Portland
http://www.wikidata.org/entity/Q4984846,Buddy Dyer,1958-08-07T00:00:00Z,male,Democratic Party,2003-03-01T00:00:00Z,2005-03-11T00:00:00Z,"Mayor of Orlando, Florida",Orlando
http://www.wikidata.org/entity/Q881585,Burnet R. Maybank,1899-03-07T00:00:00Z,male,Democratic Party,1931-12-14T00:00:00Z,1938-12-27T00:00:00Z,"Mayor of Charleston, South Carolina",Charleston
http://www.wikidata.org/entity/Q1210194,Byron Brown,1958-09-24T00:00:00Z,male,Democratic Party,2006-01-01T00:00:00Z,2024-10-15T00:00:00Z,"Mayor of Buffalo, New York",Buffalo
http://www.wikidata.org/entity/Q5004419,Byron Mallott,1943-04-06T00:00:00Z,male,Democratic Party,1994-01-01T00:00:00Z,1995-01-01T00:00:00Z,"Mayor of Juneau, Alaska",Juneau
http://www.wikidata.org/entity/Q5006381,C. David Baker,1953-02-16T00:00:00Z,male,California Republican Party,1985-07-09T00:00:00Z,1986-07-08T00:00:00Z,"Mayor of Irvine, California",Irvine
http://www.wikidata.org/entity/Q36023,Calvin Coolidge,1872-07-04T00:00:00Z,male,Republican Party,1910-01-03T00:00:00Z,1912-01-01T00:00:00Z,"Mayor of Northampton, Massachusetts",Northampton
http://www.wikidata.org/entity/Q63119719,Carey Wentworth Styles,1825-10-07T00:00:00Z,male,Democratic Party,1858-01-01T00:00:00Z,1860-01-01T00:00:00Z,"Mayor of Brunswick, Georgia",Brunswick
http://www.wikidata.org/entity/Q5040847,Carl Stokes,1927-06-21T00:00:00Z,male,Democratic Party,1968-01-01T00:00:00Z,1971-01-01T00:00:00Z,mayor of Cleveland,Cleveland
http://www.wikidata.org/entity/Q5040993,Carl Zeidler,1908-01-04T00:00:00Z,male,Democratic Party,1940-04-01T00:00:00Z,1942-12-11T00:00:00Z,Mayor of Milwaukee,Milwaukee
http://www.wikidata.org/entity/Q5045327,Carolyn Comitta,1952-04-27T00:00:00Z,female,Democratic Party,2010-01-04T00:00:00Z,2017-04-12T00:00:00Z,"Mayor of West Chester, Pennsylvania",West Chester
http://www.wikidata.org/entity/Q295333,Carter Harrison III,1825-02-15T00:00:00Z,male,Democratic Party,1879-01-01T00:00:00Z,1887-01-01T00:00:00Z,Mayor of Chicago,Chicago
http://www.wikidata.org/entity/Q294843,Carter Harrison IV,1860-04-23T00:00:00Z,male,Democratic Party,1897-01-01T00:00:00Z,1905-01-01T00:00:00Z,Mayor of Chicago,Chicago
http://www.wikidata.org/entity/Q17986013,Cassius Aurelius Boone,1850-02-02T00:00:00Z,male,Democratic Party,1882-01-01T00:00:00Z,1883-01-01T00:00:00Z,"Mayor of Orlando, Florida",Orlando
http://www.wikidata.org/entity/Q5052648,Catherine E. Pugh,1950-03-10T00:00:00Z,female,Democratic Party,2016-12-06T00:00:00Z,2019-05-02T00:00:00Z,Mayor of Baltimore,Baltimore
http://www.wikidata.org/entity/Q18217447,Charles Dennison Sweet,1858-07-16T00:00:00Z,male,Democratic Party,1881-01-01T00:00:00Z,1882-01-01T00:00:00Z,"Mayor of Orlando, Florida",Orlando
http://www.wikidata.org/entity/Q5077177,Charles E. Sebastian,1873-03-30T00:00:00Z,male,Democratic Party,1915-07-01T00:00:00Z,1916-09-02T00:00:00Z,Mayor of the City of Los Angeles,Los Angeles
http://www.wikidata.org/entity/Q65807408,Charles F. Easley,1853-07-30T00:00:00Z,male,Democratic Party,1895-01-01T00:00:00Z,1896-01-01T00:00:00Z,Alcalde-Mayor of Santa Fe,Santa Fe
http://www.wikidata.org/entity/Q5077570,Charles F. Weaver,1858-01-01T00:00:00Z,male,Republican Party,1927-01-04T00:00:00Z,1928-01-01T00:00:00Z,"Mayor of Ashland, Kentucky",Ashland
http://www.wikidata.org/entity/Q5078071,Charles Godfrey Gunther,1822-02-07T00:00:00Z,male,Democratic Party,1864-01-01T00:00:00Z,1866-01-01T00:00:00Z,Mayor of New York City,New York City
http://www.wikidata.org/entity/Q5078587,Charles H. Kline,1870-12-25T00:00:00Z,male,Republican Party,1926-01-04T00:00:00Z,1933-03-31T00:00:00Z,"Mayor of Pittsburgh, Pennsylvania",Pittsburgh
http://www.wikidata.org/entity/Q85475420,Charles H. Manly,1843-09-16T00:00:00Z,male,Democratic Party,1890-01-01T00:00:00Z,1891-01-01T00:00:00Z,"Mayor of Ann Arbor, Michigan",Ann Arbor
http://www.wikidata.org/entity/Q5078564,Charles Henry Gartrell,1914-07-28T00:00:00Z,male,Democratic Party,1968-01-01T00:00:00Z,1972-01-01T00:00:00Z,"Mayor of Ashland, Kentucky",Ashland
http://www.wikidata.org/entity/Q18157728,Charles Henry Munger,1845-01-01T00:00:00Z,male,Democratic Party,1878-01-01T00:00:00Z,1879-01-01T00:00:00Z,"Mayor of Orlando, Florida",Orlando
http://www.wikidata.org/entity/Q5079657,Charles Kiva Krieger,1914-04-05T00:00:00Z,male,Republican Party,1971-08-05T00:00:00Z,1971-11-08T00:00:00Z,"Mayor of Jersey City, New Jersey",Jersey City
http://www.wikidata.org/entity/Q5079657,Charles Kiva Krieger,1914-04-05T00:00:00Z,male,Democratic Party,1971-08-05T00:00:00Z,1971-11-08T00:00:00Z,"Mayor of Jersey City, New Jersey",Jersey City
http://www.wikidata.org/entity/Q60379303,Charles M. Fassett,1858-12-23T00:00:00Z,male,Republican Party,1914-01-01T00:00:00Z,1916-01-01T00:00:00Z,"Mayor of Spokane, Washington",Spokane
http://www.wikidata.org/entity/Q60379303,Charles M. Fassett,1858-12-23T00:00:00Z,male,Republican Party,1918-01-01T00:00:00Z,1920-01-01T00:00:00Z,"Mayor of Spokane, Washington",Spokane
http://www.wikidata.org/entity/Q5081626,Charles Phelps Taft II,1897-09-20T00:00:00Z,male,Republican Party,1955-01-01T00:00:00Z,1957-01-01T00:00:00Z,"mayor of Cincinnati, Ohio",Cincinnati
http://www.wikidata.org/entity/Q114842118,Charles R. Barber,1901-04-19T00:00:00Z,male,Republican Party,1936-01-01T00:00:00Z,1947-01-01T00:00:00Z,"Mayor of Erie, Pennsylvania",Erie
http://www.wikidata.org/entity/Q5081810,Charles R. Boutin,1942-06-07T00:00:00Z,male,Republican Party,1994-01-01T00:00:00Z,1998-01-01T00:00:00Z,"Mayor of Aberdeen, New Jersey",Aberdeen Township
http://www.wikidata.org/entity/Q5082509,Charles Siedler,1839-05-24T00:00:00Z,male,Republican Party,1876-05-01T00:00:00Z,1878-05-05T00:00:00Z,"Mayor of Jersey City, New Jersey",Jersey City
http://www.wikidata.org/entity/Q5082306,Charles Stanley Witkowski,1907-03-04T00:00:00Z,male,Democratic Party,1957-07-01T00:00:00Z,1961-06-30T00:00:00Z,"Mayor of Jersey City, New Jersey",Jersey City
http://www.wikidata.org/entity/Q21069557,Charles Sydney Smith,1828-10-04T00:00:00Z,male,Republican Party,1891-01-01T00:00:00Z,1892-01-01T00:00:00Z,"Mayor of Providence, Rhode Island",Providence
