personLabel,birthDate,genderLabel,partyLabel,start,end,positionLabel,cityLabel,eduLabel,eduTypeLabel
Aja Brown,1982-04-17T00:00:00Z,female,Democratic Party,2013-07-02T00:00:00Z,2021-06-30T00:00:00Z,"Mayor of Compton, California",Compton,USC Sol Price School of Public Policy,faculty
Aja Brown,1982-04-17T00:00:00Z,female,Democratic Party,2013-07-02T00:00:00Z,2021-06-30T00:00:00Z,"Mayor of Compton, California",Compton,University of Southern California,private university
Aja Brown,1982-04-17T00:00:00Z,female,Democratic Party,2013-07-02T00:00:00Z,2021-06-30T00:00:00Z,"Mayor of Compton, California",Compton,University of Southern California,research university
Aja Brown,1982-04-17T00:00:00Z,female,Democratic Party,2013-07-02T00:00:00Z,2021-06-30T00:00:00Z,"Mayor of Compton, California",Compton,University of Southern California,private not-for-profit educational institution
Aja Brown,1982-04-17T00:00:00Z,female,Democratic Party,2013-07-02T00:00:00Z,2021-06-30T00:00:00Z,"Mayor of Compton, California",Compton,University of Southern California,open-access publisher
Alan Webber,1948-09-18T00:00:00Z,male,Democratic Party,2018-01-01T00:00:00Z,2025-01-01T00:00:00Z,Alcalde-Mayor of Santa Fe,Santa Fe,Amherst College,liberal arts college
Alan Webber,1948-09-18T00:00:00Z,male,Democratic Party,2018-01-01T00:00:00Z,2025-01-01T00:00:00Z,Alcalde-Mayor of Santa Fe,Santa Fe,Amherst College,private not-for-profit educational institution
Alan Webber,1948-09-18T00:00:00Z,male,Democratic Party,2018-01-01T00:00:00Z,2025-01-01T00:00:00Z,Alcalde-Mayor of Santa Fe,Santa Fe,Mary Institute and St. Louis Country Day School,private school
Alan Webber,1948-09-18T00:00:00Z,male,Democratic Party,2018-01-01T00:00:00Z,2025-01-01T00:00:00Z,Alcalde-Mayor of Santa Fe,Santa Fe,Mary Institute and St. Louis Country Day School,coeducational school
Albert Cobo,1893-10-02T00:00:00Z,male,Republican Party,1950-01-03T00:00:00Z,1957-09-12T00:00:00Z,"Mayor of Detroit, Michigan",Detroit,Detroit Business Institute,educational institution
Alex Knopp,1947-01-01T00:00:00Z,male,Democratic Party,2001-01-01T00:00:00Z,2005-01-01T00:00:00Z,"mayor of Norwalk, Connecticut",Norwalk,George Washington University,private university
Alex Knopp,1947-01-01T00:00:00Z,male,Democratic Party,2001-01-01T00:00:00Z,2005-01-01T00:00:00Z,"mayor of Norwalk, Connecticut",Norwalk,George Washington University,research university
Alex Knopp,1947-01-01T00:00:00Z,male,Democratic Party,2001-01-01T00:00:00Z,2005-01-01T00:00:00Z,"mayor of Norwalk, Connecticut",Norwalk,George Washington University,private not-for-profit educational institution
Alex Knopp,1947-01-01T00:00:00Z,male,Democratic Party,2001-01-01T00:00:00Z,2005-01-01T00:00:00Z,"mayor of Norwalk, Connecticut",Norwalk,George Washington University,open-access publisher
Alex Knopp,1947-01-01T00:00:00Z,male,Democratic Party,2001-01-01T00:00:00Z,2005-01-01T00:00:00Z,"mayor of Norwalk, Connecticut",Norwalk,Wesleyan University,university
Alex Knopp,1947-01-01T00:00:00Z,male,Democratic Party,2001-01-01T00:00:00Z,2005-01-01T00:00:00Z,"mayor of Norwalk, Connecticut",Norwalk,Wesleyan University,private not-for-profit educational institution
Alex Penelas,1961-12-18T00:00:00Z,male,Democratic Party,1996-10-01T00:00:00Z,2004-11-06T00:00:00Z,Mayor of Miami-Dade County,Miami-Dade County,Champagnat Catholic School,school
Alex Penelas,1961-12-18T00:00:00Z,male,Democratic Party,1996-10-01T00:00:00Z,2004-11-06T00:00:00Z,Mayor of Miami-Dade County,Miami-Dade County,St. Thomas University,university
Alex Penelas,1961-12-18T00:00:00Z,male,Democratic Party,1996-10-01T00:00:00Z,2004-11-06T00:00:00Z,Mayor of Miami-Dade County,Miami-Dade County,St. Thomas University,private not-for-profit educational institution
Alex Penelas,1961-12-18T00:00:00Z,male,Democratic Party,1996-10-01T00:00:00Z,2004-11-06T00:00:00Z,Mayor of Miami-Dade County,Miami-Dade County,St. Thomas University,open-access publisher
Alex Penelas,1961-12-18T00:00:00Z,male,Democratic Party,1996-10-01T00:00:00Z,2004-11-06T00:00:00Z,Mayor of Miami-Dade County,Miami-Dade County,University of Miami School of Law,organization
Alex Penelas,1961-12-18T00:00:00Z,male,Democratic Party,1996-10-01T00:00:00Z,2004-11-06T00:00:00Z,Mayor of Miami-Dade County,Miami-Dade County,University of Miami School of Law,faculty
Alex Penelas,1961-12-18T00:00:00Z,male,Democratic Party,1996-10-01T00:00:00Z,2004-11-06T00:00:00Z,Mayor of Miami-Dade County,Miami-Dade County,University of Miami School of Law,law school
Allison Silberberg,1963-01-01T00:00:00Z,female,Democratic Party,2016-01-04T00:00:00Z,2019-01-02T00:00:00Z,"Mayor of Alexandria, Virginia",Alexandria,American University,private university
Allison Silberberg,1963-01-01T00:00:00Z,female,Democratic Party,2016-01-04T00:00:00Z,2019-01-02T00:00:00Z,"Mayor of Alexandria, Virginia",Alexandria,American University,research university
Allison Silberberg,1963-01-01T00:00:00Z,female,Democratic Party,2016-01-04T00:00:00Z,2019-01-02T00:00:00Z,"Mayor of Alexandria, Virginia",Alexandria,American University,private not-for-profit educational institution
Andrew Gillum,1979-07-26T00:00:00Z,male,Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee,Florida A&M University,school
Andrew Gillum,1979-07-26T00:00:00Z,male,Florida Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee,Florida A&M University,school
Andrew Gillum,1979-07-26T00:00:00Z,male,Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee,Florida A&M University,university
Andrew Gillum,1979-07-26T00:00:00Z,male,Florida Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee,Florida A&M University,university
Andrew Gillum,1979-07-26T00:00:00Z,male,Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee,Florida A&M University,land-grant university
Andrew Gillum,1979-07-26T00:00:00Z,male,Florida Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee,Florida A&M University,land-grant university
Andrew Gillum,1979-07-26T00:00:00Z,male,Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee,Florida A&M University,historically black college or university
Andrew Gillum,1979-07-26T00:00:00Z,male,Florida Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee,Florida A&M University,historically black college or university
Andrew Gillum,1979-07-26T00:00:00Z,male,Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee,Florida A&M University,public educational institution of the United States
Andrew Gillum,1979-07-26T00:00:00Z,male,Florida Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee,Florida A&M University,public educational institution of the United States
Andrew Gillum,1979-07-26T00:00:00Z,male,Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee,Gainesville High School,high school
Andrew Gillum,1979-07-26T00:00:00Z,male,Florida Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee,Gainesville High School,high school
Andrew Young,1932-03-12T00:00:00Z,male,Democratic Party,1982-01-01T00:00:00Z,1990-01-01T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta,Dillard University,university
Andrew Young,1932-03-12T00:00:00Z,male,Democratic Party,1982-01-01T00:00:00Z,1990-01-01T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta,Dillard University,historically black college or university
Andrew Young,1932-03-12T00:00:00Z,male,Democratic Party,1982-01-01T00:00:00Z,1990-01-01T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta,Dillard University,private not-for-profit educational institution
Andrew Young,1932-03-12T00:00:00Z,male,Democratic Party,1982-01-01T00:00:00Z,1990-01-01T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta,Gilbert Academy,university-preparatory school
Andrew Young,1932-03-12T00:00:00Z,male,Democratic Party,1982-01-01T00:00:00Z,1990-01-01T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta,Hartford International University for Religion and Peace,university
Andrew Young,1932-03-12T00:00:00Z,male,Democratic Party,1982-01-01T00:00:00Z,1990-01-01T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta,Hartford International University for Religion and Peace,seminary
Andrew Young,1932-03-12T00:00:00Z,male,Democratic Party,1982-01-01T00:00:00Z,1990-01-01T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta,Hartford International University for Religion and Peace,private not-for-profit educational institution
Andrew Young,1932-03-12T00:00:00Z,male,Democratic Party,1982-01-01T00:00:00Z,1990-01-01T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta,Howard University,school
Andrew Young,1932-03-12T00:00:00Z,male,Democratic Party,1982-01-01T00:00:00Z,1990-01-01T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta,Howard University,private university
Andrew Young,1932-03-12T00:00:00Z,male,Democratic Party,1982-01-01T00:00:00Z,1990-01-01T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta,Howard University,historically black college or university
Andrew Young,1932-03-12T00:00:00Z,male,Democratic Party,1982-01-01T00:00:00Z,1990-01-01T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta,Howard University,private not-for-profit educational institution
Andy Berke,1968-03-31T00:00:00Z,male,Democratic Party,2013-04-15T00:00:00Z,2021-04-19T00:00:00Z,Mayor of Chattanooga,Chattanooga,Baylor School,boarding school
Andy Berke,1968-03-31T00:00:00Z,male,Democratic Party,2013-04-15T00:00:00Z,2021-04-19T00:00:00Z,Mayor of Chattanooga,Chattanooga,Stanford University,private university
Andy Berke,1968-03-31T00:00:00Z,male,Democratic Party,2013-04-15T00:00:00Z,2021-04-19T00:00:00Z,Mayor of Chattanooga,Chattanooga,Stanford University,research university
Andy Berke,1968-03-31T00:00:00Z,male,Democratic Party,2013-04-15T00:00:00Z,2021-04-19T00:00:00Z,Mayor of Chattanooga,Chattanooga,Stanford University,private not-for-profit educational institution
Andy Berke,1968-03-31T00:00:00Z,male,Democratic Party,2013-04-15T00:00:00Z,2021-04-19T00:00:00Z,Mayor of Chattanooga,Chattanooga,Stanford University,open-access publisher
Andy Berke,1968-03-31T00:00:00Z,male,Democratic Party,2013-04-15T00:00:00Z,2021-04-19T00:00:00Z,Mayor of Chattanooga,Chattanooga,University of Chicago Law School,law school
Angelo Errichetti,1928-09-29T00:00:00Z,male,Democratic Party,1973-01-01T00:00:00Z,1981-01-01T00:00:00Z,"Mayor of Camden, New Jersey",Camden,Camden High School,high school
Angelo Errichetti,1928-09-29T00:00:00Z,male,Democratic Party,1973-01-01T00:00:00Z,1981-01-01T00:00:00Z,"Mayor of Camden, New Jersey",Camden,Rutgers University,land-grant university
Angelo Errichetti,1928-09-29T00:00:00Z,male,Democratic Party,1973-01-01T00:00:00Z,1981-01-01T00:00:00Z,"Mayor of Camden, New Jersey",Camden,Rutgers University,Colonial Colleges
Angelo Errichetti,1928-09-29T00:00:00Z,male,Democratic Party,1973-01-01T00:00:00Z,1981-01-01T00:00:00Z,"Mayor of Camden, New Jersey",Camden,Rutgers University,sea grant institution
Angelo Errichetti,1928-09-29T00:00:00Z,male,Democratic Party,1973-01-01T00:00:00Z,1981-01-01T00:00:00Z,"Mayor of Camden, New Jersey",Camden,Rutgers University,public research university
Angelo Errichetti,1928-09-29T00:00:00Z,male,Democratic Party,1973-01-01T00:00:00Z,1981-01-01T00:00:00Z,"Mayor of Camden, New Jersey",Camden,West Nottingham Academy,boarding school
Angelo Errichetti,1928-09-29T00:00:00Z,male,Democratic Party,1973-01-01T00:00:00Z,1981-01-01T00:00:00Z,"Mayor of Camden, New Jersey",Camden,West Nottingham Academy,coeducational school
Ann Cummings,1946-07-20T00:00:00Z,female,Democratic Party,1990-07-01T00:00:00Z,1996-01-01T00:00:00Z,"Mayor of Montpelier, Vermont",Montpelier,Lexington Catholic High School,high school
Ann Cummings,1946-07-20T00:00:00Z,female,Democratic Party,1990-07-01T00:00:00Z,1996-01-01T00:00:00Z,"Mayor of Montpelier, Vermont",Montpelier,Saint Michael's College,liberal arts college
Ann Cummings,1946-07-20T00:00:00Z,female,Democratic Party,1990-07-01T00:00:00Z,1996-01-01T00:00:00Z,"Mayor of Montpelier, Vermont",Montpelier,Saint Michael's College,private not-for-profit educational institution
Anna Peterson,1947-05-30T00:00:00Z,female,Republican Party,2011-01-01T00:00:00Z,2016-01-01T00:00:00Z,Mayor of Salem,Salem,Roosevelt High School,high school
Anna Peterson,1947-05-30T00:00:00Z,female,Republican Party,2011-01-01T00:00:00Z,2016-01-01T00:00:00Z,Mayor of Salem,Salem,Roosevelt High School,school building
Anna Peterson,1947-05-30T00:00:00Z,female,Republican Party,2011-01-01T00:00:00Z,2016-01-01T00:00:00Z,Mayor of Salem,Salem,University of Oregon,public university
Anna Peterson,1947-05-30T00:00:00Z,female,Republican Party,2011-01-01T00:00:00Z,2016-01-01T00:00:00Z,Mayor of Salem,Salem,University of Oregon,research university
Anna Peterson,1947-05-30T00:00:00Z,female,Republican Party,2011-01-01T00:00:00Z,2016-01-01T00:00:00Z,Mayor of Salem,Salem,University of Oregon,public educational institution of the United States
Anne Watson,1981-01-01T00:00:00Z,female,independent politician,2018-03-01T00:00:00Z,2022-12-01T00:00:00Z,"Mayor of Montpelier, Vermont",Montpelier,Pennsylvania State University,production company
Anne Watson,1981-01-01T00:00:00Z,female,independent politician,2018-03-01T00:00:00Z,2022-12-01T00:00:00Z,"Mayor of Montpelier, Vermont",Montpelier,Pennsylvania State University,open-access publisher
Anne Watson,1981-01-01T00:00:00Z,female,independent politician,2018-03-01T00:00:00Z,2022-12-01T00:00:00Z,"Mayor of Montpelier, Vermont",Montpelier,Pennsylvania State University,public research university
Anne Watson,1981-01-01T00:00:00Z,female,independent politician,2018-03-01T00:00:00Z,2022-12-01T00:00:00Z,"Mayor of Montpelier, Vermont",Montpelier,University of Vermont,land-grant university
Anne Watson,1981-01-01T00:00:00Z,female,independent politician,2018-03-01T00:00:00Z,2022-12-01T00:00:00Z,"Mayor of Montpelier, Vermont",Montpelier,University of Vermont,public educational institution of the United States
Anne Watson,1981-01-01T00:00:00Z,female,independent politician,2018-03-01T00:00:00Z,2022-12-01T00:00:00Z,"Mayor of Montpelier, Vermont",Montpelier,University of Vermont,open-access publisher
Anne Watson,1981-01-01T00:00:00Z,female,independent politician,2018-03-01T00:00:00Z,2022-12-01T00:00:00Z,"Mayor of Montpelier, Vermont",Montpelier,University of Vermont,public research university
Annise Parker,1956-05-17T00:00:00Z,female,Democratic Party,2010-01-02T00:00:00Z,2016-01-02T00:00:00Z,Mayor of Houston,Houston,Rice University,private university
Annise Parker,1956-05-17T00:00:00Z,female,Democratic Party,2010-01-02T00:00:00Z,2016-01-02T00:00:00Z,Mayor of Houston,Houston,Rice University,research university
Annise Parker,1956-05-17T00:00:00Z,female,Democratic Party,2010-01-02T00:00:00Z,2016-01-02T00:00:00Z,Mayor of Houston,Houston,Rice University,private not-for-profit educational institution
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Columbia University,organization
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Columbia University,private university
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Columbia University,Colonial Colleges
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Columbia University,research university
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Columbia University,private not-for-profit educational institution
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Harvard Law School,law school
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Harvard Law School,publishing company
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Harvard Law School,graduate school
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,John F. Kennedy School of Government,private school
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,John F. Kennedy School of Government,public policy school
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Santa Clara University,university
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Santa Clara University,private not-for-profit educational institution
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Silliman College,residential college
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Silliman College,Residential colleges of Yale University
Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Yale College,college
Anthony Foxx,1971-04-30T00:00:00Z,male,Democratic Party,2009-12-07T00:00:00Z,2013-07-01T00:00:00Z,"Mayor of Charlotte, North Carolina",Charlotte,Davidson College,liberal arts college in the United States
Anthony Foxx,1971-04-30T00:00:00Z,male,Democratic Party,2009-12-07T00:00:00Z,2013-07-01T00:00:00Z,"Mayor of Charlotte, North Carolina",Charlotte,Davidson College,private not-for-profit educational institution
Anthony Foxx,1971-04-30T00:00:00Z,male,Democratic Party,2009-12-07T00:00:00Z,2013-07-01T00:00:00Z,"Mayor of Charlotte, North Carolina",Charlotte,New York University,school
Anthony Foxx,1971-04-30T00:00:00Z,male,Democratic Party,2009-12-07T00:00:00Z,2013-07-01T00:00:00Z,"Mayor of Charlotte, North Carolina",Charlotte,New York University,workplace
Anthony Foxx,1971-04-30T00:00:00Z,male,Democratic Party,2009-12-07T00:00:00Z,2013-07-01T00:00:00Z,"Mayor of Charlotte, North Carolina",Charlotte,New York University,private university
Anthony Foxx,1971-04-30T00:00:00Z,male,Democratic Party,2009-12-07T00:00:00Z,2013-07-01T00:00:00Z,"Mayor of Charlotte, North Carolina",Charlotte,New York University,research university
Anthony Foxx,1971-04-30T00:00:00Z,male,Democratic Party,2009-12-07T00:00:00Z,2013-07-01T00:00:00Z,"Mayor of Charlotte, North Carolina",Charlotte,New York University,private not-for-profit educational institution
Anthony Foxx,1971-04-30T00:00:00Z,male,Democratic Party,2009-12-07T00:00:00Z,2013-07-01T00:00:00Z,"Mayor of Charlotte, North Carolina",Charlotte,New York University School of Law,organization
Anthony Foxx,1971-04-30T00:00:00Z,male,Democratic Party,2009-12-07T00:00:00Z,2013-07-01T00:00:00Z,"Mayor of Charlotte, North Carolina",Charlotte,New York University School of Law,faculty
Anthony Foxx,1971-04-30T00:00:00Z,male,Democratic Party,2009-12-07T00:00:00Z,2013-07-01T00:00:00Z,"Mayor of Charlotte, North Carolina",Charlotte,New York University School of Law,law school
Anthony Foxx,1971-04-30T00:00:00Z,male,Democratic Party,2009-12-07T00:00:00Z,2013-07-01T00:00:00Z,"Mayor of Charlotte, North Carolina",Charlotte,West Charlotte High School,high school
"Anthony Joseph Celebrezze, Sr.",1910-09-04T00:00:00Z,male,Democratic Party,1954-01-01T00:00:00Z,1961-12-31T00:00:00Z,mayor of Cleveland,Cleveland,Claude W. Pettit College of Law,law school
"Anthony Joseph Celebrezze, Sr.",1910-09-04T00:00:00Z,male,Democratic Party,1954-01-01T00:00:00Z,1961-12-31T00:00:00Z,mayor of Cleveland,Cleveland,Cleveland Metropolitan School District,school district
"Anthony Joseph Celebrezze, Sr.",1910-09-04T00:00:00Z,male,Democratic Party,1954-01-01T00:00:00Z,1961-12-31T00:00:00Z,mayor of Cleveland,Cleveland,John Carroll University,university
"Anthony Joseph Celebrezze, Sr.",1910-09-04T00:00:00Z,male,Democratic Party,1954-01-01T00:00:00Z,1961-12-31T00:00:00Z,mayor of Cleveland,Cleveland,John Carroll University,private not-for-profit educational institution
"Anthony Joseph Celebrezze, Sr.",1910-09-04T00:00:00Z,male,Democratic Party,1954-01-01T00:00:00Z,1961-12-31T00:00:00Z,mayor of Cleveland,Cleveland,Ohio Northern University,university
"Anthony Joseph Celebrezze, Sr.",1910-09-04T00:00:00Z,male,Democratic Party,1954-01-01T00:00:00Z,1961-12-31T00:00:00Z,mayor of Cleveland,Cleveland,Ohio Northern University,private not-for-profit educational institution
Anthony R. Cucci,1922-08-08T00:00:00Z,male,Democratic Party,1985-07-01T00:00:00Z,1989-06-30T00:00:00Z,"Mayor of Jersey City, New Jersey",Jersey City,Seton Hall University,Catholic university
Anthony R. Cucci,1922-08-08T00:00:00Z,male,Democratic Party,1985-07-01T00:00:00Z,1989-06-30T00:00:00Z,"Mayor of Jersey City, New Jersey",Jersey City,Seton Hall University,private not-for-profit educational institution
Ardolph L. Kline,1858-02-21T00:00:00Z,male,Republican Party,1913-09-10T00:00:00Z,1913-12-31T00:00:00Z,Mayor of New York City,New York City,Phillips Academy,school
Ardolph L. Kline,1858-02-21T00:00:00Z,male,Republican Party,1913-09-10T00:00:00Z,1913-12-31T00:00:00Z,Mayor of New York City,New York City,Phillips Academy,high school
Ardolph L. Kline,1858-02-21T00:00:00Z,male,Republican Party,1913-09-10T00:00:00Z,1913-12-31T00:00:00Z,Mayor of New York City,New York City,Phillips Academy,boarding school
Ashton Hayward,1969-04-15T00:00:00Z,male,Republican Party,2011-01-10T00:00:00Z,2018-11-27T00:00:00Z,Mayor of Pensacola,Pensacola,Florida State University,school
