person,personLabel,birthDate,genderLabel,partyLabel,start,end,positionLabel,cityLabel,start_year,end_year,birth_year,age_at_start
http://www.wikidata.org/entity/Q4121154,Ardolph L. Kline,1858-02-21 00:00:00+00:00,male,Republican Party,1913-09-10 00:00:00+00:00,1913-12-31 00:00:00+00:00,Mayor of New York City,New York City,1913,1913,1858,55
http://www.wikidata.org/entity/Q30539593,Arthur W. Brady,1865-01-13 00:00:00+00:00,male,Democratic Party,1891-01-01 00:00:00+00:00,1895-01-01 00:00:00+00:00,"Mayor of Muncie, Indiana",Muncie,1891,1895,1865,26
http://www.wikidata.org/entity/Q47545671,Ashton Hayward,1969-04-15 00:00:00+00:00,male,Republican Party,2011-01-10 00:00:00+00:00,2018-11-27 00:00:00+00:00,Mayor of Pensacola,Pensacola,2011,2018,1969,42
http://www.wikidata.org/entity/Q3246835,Augustus Garrett,1801-01-01 00:00:00+00:00,male,Democratic Party,1843-01-01 00:00:00+00:00,1844-01-01 00:00:00+00:00,Mayor of Chicago,Chicago,1843,1844,1801,42
http://www.wikidata.org/entity/Q3246835,Augustus Garrett,1801-01-01 00:00:00+00:00,male,Democratic Party,1843-01-01 00:00:00+00:00,1846-01-01 00:00:00+00:00,Mayor of Chicago,Chicago,1843,1846,1801,42
http://www.wikidata.org/entity/Q3246835,Augustus Garrett,1801-01-01 00:00:00+00:00,male,Democratic Party,1845-01-01 00:00:00+00:00,1844-01-01 00:00:00+00:00,Mayor of Chicago,Chicago,1845,1844,1801,44
http://www.wikidata.org/entity/Q3246835,Augustus Garrett,1801-01-01 00:00:00+00:00,male,Democratic Party,1845-01-01 00:00:00+00:00,1846-01-01 00:00:00+00:00,Mayor of Chicago,Chicago,1845,1846,1801,44
http://www.wikidata.org/entity/Q4823167,Austin Letheridge Bender,1916-06-06 00:00:00+00:00,male,Democratic Party,1969-01-01 00:00:00+00:00,1971-01-26 00:00:00+00:00,Mayor of Chattanooga,Chattanooga,1969,1971,1916,53
http://www.wikidata.org/entity/Q100545891,Austin Quinn-Davidson,1979-01-01 00:00:00+00:00,female,independent politician,2020-10-23 00:00:00+00:00,2021-07-01 00:00:00+00:00,"Mayor of Anchorage, Alaska",Anchorage,2020,2021,1979,41
http://www.wikidata.org/entity/Q22907293,Bao Nguyen,1980-01-01 00:00:00+00:00,male,Democratic Party,2014-12-09 00:00:00+00:00,2016-12-13 00:00:00+00:00,"Mayor of Garden Grove, California",Garden Grove,2014,2016,1980,34
http://www.wikidata.org/entity/Q13562487,Barbara Bass,1954-01-29 00:00:00+00:00,female,Republican Party,2008-05-01 00:00:00+00:00,2014-05-01 00:00:00+00:00,"Mayor of Tyler, Texas",Tyler,2008,2014,1954,54
http://www.wikidata.org/entity/Q4864188,Barry E. DuVal,1959-08-07 00:00:00+00:00,male,Republican Party,1990-07-01 00:00:00+00:00,1996-06-30 00:00:00+00:00,"Mayor of Newport News, Virginia",Newport News,1990,1996,1959,31
http://www.wikidata.org/entity/Q4885318,Ben Boo,1925-01-21 00:00:00+00:00,male,Republican Party of Minnesota,1967-01-01 00:00:00+00:00,1975-01-01 00:00:00+00:00,"Mayor of Duluth, Minnesota",Duluth,1967,1975,1925,42
http://www.wikidata.org/entity/Q4886138,Ben McAdams,1974-12-05 00:00:00+00:00,male,Democratic Party,2013-01-07 00:00:00+00:00,2019-01-02 00:00:00+00:00,"Mayor of Salt Lake City, Utah",Salt Lake City,2013,2019,1974,39
http://www.wikidata.org/entity/Q4886138,Ben McAdams,1974-12-05 00:00:00+00:00,male,Utah Democratic Party,2013-01-07 00:00:00+00:00,2019-01-02 00:00:00+00:00,"Mayor of Salt Lake City, Utah",Salt Lake City,2013,2019,1974,39
http://www.wikidata.org/entity/Q817526,Benjamin H. Bunn,1844-10-19 00:00:00+00:00,male,Democratic Party,1867-01-01 00:00:00+00:00,1867-01-01 00:00:00+00:00,"Mayor of Rocky Mount, North Carolina",Rocky Mount,1867,1867,1844,23
http://www.wikidata.org/entity/Q4892969,Bernard C. Young,1954-06-26 00:00:00+00:00,male,Democratic Party,2019-05-02 00:00:00+00:00,2020-12-08 00:00:00+00:00,Mayor of Baltimore,Baltimore,2019,2020,1954,65
http://www.wikidata.org/entity/Q16193989,Bernard Carvalho,1961-09-29 00:00:00+00:00,male,Democratic Party,2008-12-01 00:00:00+00:00,2018-12-03 00:00:00+00:00,Mayor of Kauai,Kauai County,2008,2018,1961,47
http://www.wikidata.org/entity/Q4893258,Bernard J. Berry,1913-07-03 00:00:00+00:00,male,Democratic Party,1953-12-15 00:00:00+00:00,1957-06-30 00:00:00+00:00,"Mayor of Jersey City, New Jersey",Jersey City,1953,1957,1913,40
http://www.wikidata.org/entity/Q4893541,Bernard Pratte,1803-12-17 00:00:00+00:00,male,Whig Party,1844-01-01 00:00:00+00:00,1846-01-01 00:00:00+00:00,Mayor of St. Louis,St. Louis,1844,1846,1803,41
http://www.wikidata.org/entity/Q359442,Bernie Sanders,1941-09-08 00:00:00+00:00,male,Democratic Party,1981-04-06 00:00:00+00:00,1989-04-04 00:00:00+00:00,"Mayor of Burlington, Vermont",Burlington,1981,1989,1941,40
http://www.wikidata.org/entity/Q359442,Bernie Sanders,1941-09-08 00:00:00+00:00,male,independent politician,1981-04-06 00:00:00+00:00,1989-04-04 00:00:00+00:00,"Mayor of Burlington, Vermont",Burlington,1981,1989,1941,40
http://www.wikidata.org/entity/Q359442,Bernie Sanders,1941-09-08 00:00:00+00:00,male,Liberty Union Party,1981-04-06 00:00:00+00:00,1989-04-04 00:00:00+00:00,"Mayor of Burlington, Vermont",Burlington,1981,1989,1941,40
http://www.wikidata.org/entity/Q4897496,Beth Finch,1921-01-01 00:00:00+00:00,female,Democratic Party,1975-01-01 00:00:00+00:00,1981-01-01 00:00:00+00:00,"Mayor of Fayetteville, North Carolina",Fayetteville,1975,1981,1921,54
http://www.wikidata.org/entity/Q66309702,Beth Van Duyne,1970-11-16 00:00:00+00:00,female,Republican Party,2011-01-01 00:00:00+00:00,2017-05-01 00:00:00+00:00,"Mayor of Irving, Texas",Irving,2011,2017,1970,41
http://www.wikidata.org/entity/Q16207779,Betsy Hodges,1969-09-07 00:00:00+00:00,female,Democratic Party,2014-01-02 00:00:00+00:00,2017-12-31 00:00:00+00:00,Mayor of Minneapolis,Minneapolis,2014,2017,1969,45
http://www.wikidata.org/entity/Q16207779,Betsy Hodges,1969-09-07 00:00:00+00:00,female,Minnesota Democratic–Farmer–Labor Party,2014-01-02 00:00:00+00:00,2017-12-31 00:00:00+00:00,Mayor of Minneapolis,Minneapolis,2014,2017,1969,45
http://www.wikidata.org/entity/Q4898315,Betsy Price,1949-10-21 00:00:00+00:00,female,Republican Party,2011-07-12 00:00:00+00:00,2021-06-15 00:00:00+00:00,"Mayor of Fort Worth, Texas",Fort Worth,2011,2021,1949,62
http://www.wikidata.org/entity/Q13562557,Betty Marshall,1918-01-01 00:00:00+00:00,female,Democratic Party,1978-01-01 00:00:00+00:00,1982-01-01 00:00:00+00:00,"Mayor of York, Pennsylvania",York,1978,1982,1918,60
http://www.wikidata.org/entity/Q13562557,Betty Marshall,1918-12-17 00:00:00+00:00,female,Democratic Party,1978-01-01 00:00:00+00:00,1982-01-01 00:00:00+00:00,"Mayor of York, Pennsylvania",York,1978,1982,1918,60
http://www.wikidata.org/entity/Q4908095,Bill Bell,1941-01-01 00:00:00+00:00,male,Democratic Party,2001-01-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,"Mayor of Durham, North Carolina",Durham,2001,2017,1941,60
http://www.wikidata.org/entity/Q4908401,Bill Campbell,1953-01-01 00:00:00+00:00,male,Democratic Party,1994-01-01 00:00:00+00:00,2002-01-07 00:00:00+00:00,"Mayor of Atlanta, Georgia",Atlanta,1994,2002,1953,41
http://www.wikidata.org/entity/Q862186,Bill Haslam,1958-08-23 00:00:00+00:00,male,Republican Party,2003-12-20 00:00:00+00:00,2011-01-10 00:00:00+00:00,"Mayor of Knoxville, Tennessee",Knoxville,2003,2011,1958,45
http://www.wikidata.org/entity/Q529090,Bill Pascrell,1937-01-25 00:00:00+00:00,male,Democratic Party,1990-01-01 00:00:00+00:00,1996-01-01 00:00:00+00:00,"Mayor of Paterson, New Jersey",Paterson,1990,1996,1937,53
http://www.wikidata.org/entity/Q4910457,Bill Peduto,1964-10-30 00:00:00+00:00,male,Democratic Party,2014-01-06 00:00:00+00:00,2022-01-03 00:00:00+00:00,"Mayor of Pittsburgh, Pennsylvania",Pittsburgh,2014,2022,1964,50
http://www.wikidata.org/entity/Q4911238,Bill Vidal,1951-07-19 00:00:00+00:00,male,Democratic Party,2011-01-12 00:00:00+00:00,2011-07-18 00:00:00+00:00,"Mayor of Denver, Colorado",Denver,2011,2011,1951,60
http://www.wikidata.org/entity/Q862661,Bill White,1954-06-16 00:00:00+00:00,male,Democratic Party,2004-01-02 00:00:00+00:00,2010-01-02 00:00:00+00:00,Mayor of Houston,Houston,2004,2010,1954,50
http://www.wikidata.org/entity/Q16983687,Bill Workman,1940-07-03 00:00:00+00:00,male,Republican Party,1983-06-13 00:00:00+00:00,1995-12-11 00:00:00+00:00,"Mayor of Greenville, South Carolina",Greenville,1983,1995,1940,43
http://www.wikidata.org/entity/Q4911497,Bill de Blasio,1961-05-08 00:00:00+00:00,male,Democratic Party,2014-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,Mayor of New York City,New York City,2014,2022,1961,53
http://www.wikidata.org/entity/Q4845296,Bob Buckhorn,1958-07-29 00:00:00+00:00,male,Democratic Party,2011-04-01 00:00:00+00:00,2019-05-01 00:00:00+00:00,"Mayor of Tampa, Florida",Tampa,2011,2019,1958,53
http://www.wikidata.org/entity/Q4932031,Bob Cashell,1938-04-22 00:00:00+00:00,male,Republican Party,2002-11-13 00:00:00+00:00,2014-11-12 00:00:00+00:00,"Mayor of Reno, Nevada",Reno,2002,2014,1938,64
http://www.wikidata.org/entity/Q4932031,Bob Cashell,1938-04-22 00:00:00+00:00,male,Democratic Party,2002-11-13 00:00:00+00:00,2014-11-12 00:00:00+00:00,"Mayor of Reno, Nevada",Reno,2002,2014,1938,64
http://www.wikidata.org/entity/Q4225155,Bob Coble,1953-04-27 00:00:00+00:00,male,Democratic Party,1990-01-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,"Mayor of Columbia, South Carolina",Columbia,1990,2010,1953,37
http://www.wikidata.org/entity/Q331719,Bob Corker,1952-08-24 00:00:00+00:00,male,Republican Party,2001-04-16 00:00:00+00:00,2005-04-18 00:00:00+00:00,Mayor of Chattanooga,Chattanooga,2001,2005,1952,49
http://www.wikidata.org/entity/Q388356,Bob Filner,1942-09-04 00:00:00+00:00,male,Democratic Party,2012-12-03 00:00:00+00:00,2013-08-30 00:00:00+00:00,Mayor of San Diego,San Diego,2012,2013,1942,70
http://www.wikidata.org/entity/Q4933043,Bob Kiss,1947-04-01 00:00:00+00:00,male,Vermont Progressive Party,2006-04-01 00:00:00+00:00,2012-04-01 00:00:00+00:00,"Mayor of Burlington, Vermont",Burlington,2006,2012,1947,59
http://www.wikidata.org/entity/Q4933111,Bob Lanier,1925-03-10 00:00:00+00:00,male,Democratic Party,1992-01-02 00:00:00+00:00,1998-01-02 00:00:00+00:00,Mayor of Houston,Houston,1992,1998,1925,67
http://www.wikidata.org/entity/Q888132,Bob Menendez,1954-01-01 00:00:00+00:00,male,Democratic Party,1986-05-20 00:00:00+00:00,1992-11-15 00:00:00+00:00,"Mayor of Union City, New Jersey",Union City,1986,1992,1954,32
http://www.wikidata.org/entity/Q888181,Bob O'Connor,1944-12-09 00:00:00+00:00,male,Democratic Party,2006-01-03 00:00:00+00:00,2006-09-01 00:00:00+00:00,"Mayor of Pittsburgh, Pennsylvania",Pittsburgh,2006,2006,1944,62
http://www.wikidata.org/entity/Q753365,Brand Whitlock,1869-03-04 00:00:00+00:00,male,Democratic Party,1906-01-01 00:00:00+00:00,1914-01-01 00:00:00+00:00,"Mayor of Toledo, Ohio",Toledo,1906,1914,1869,37
http://www.wikidata.org/entity/Q4961955,Bret Schundler,1959-01-14 00:00:00+00:00,male,Republican Party,1992-11-11 00:00:00+00:00,2001-06-30 00:00:00+00:00,"Mayor of Jersey City, New Jersey",Jersey City,1992,2001,1959,33
http://www.wikidata.org/entity/Q4961955,Bret Schundler,1959-01-14 00:00:00+00:00,male,Democratic Party,1992-11-11 00:00:00+00:00,2001-06-30 00:00:00+00:00,"Mayor of Jersey City, New Jersey",Jersey City,1992,2001,1959,33
http://www.wikidata.org/entity/Q109339828,Brooks Harper,1938-08-23 00:00:00+00:00,male,Republican Party,1991-03-22 00:00:00+00:00,1991-12-31 00:00:00+00:00,"Mayor of Marietta, Ohio",Marietta,1991,1991,1938,53
http://www.wikidata.org/entity/Q3645452,Bruce Botelho,1948-10-06 00:00:00+00:00,male,Democratic Party,1988-10-01 00:00:00+00:00,1991-10-01 00:00:00+00:00,"Mayor of Juneau, Alaska",Juneau,1988,1991,1948,40
http://www.wikidata.org/entity/Q3645452,Bruce Botelho,1948-10-06 00:00:00+00:00,male,Democratic Party,2003-10-27 00:00:00+00:00,2012-10-11 00:00:00+00:00,"Mayor of Juneau, Alaska",Juneau,2003,2012,1948,55
http://www.wikidata.org/entity/Q4977662,Bruce Hoblitzell,1887-06-25 00:00:00+00:00,male,Democratic Party,1957-01-01 00:00:00+00:00,1961-01-01 00:00:00+00:00,"Mayor of Louisville, Kentucky",Louisville,1957,1961,1887,70
http://www.wikidata.org/entity/Q4980549,Bryant Baxter Newcomb,1867-08-22 00:00:00+00:00,male,Republican Party,1912-01-01 00:00:00+00:00,1916-01-01 00:00:00+00:00,"Mayor of Long Branch, New Jersey",Long Branch,1912,1916,1867,45
http://www.wikidata.org/entity/Q4982927,Buck Rinehart,1946-02-24 00:00:00+00:00,male,Republican Party,1984-01-01 00:00:00+00:00,1992-01-01 00:00:00+00:00,"Mayor of Columbus, Ohio",Columbus,1984,1992,1946,38
http://www.wikidata.org/entity/Q4983811,Bud Clark,1931-12-19 00:00:00+00:00,male,Democratic Party,1985-01-03 00:00:00+00:00,1992-12-31 00:00:00+00:00,"Mayor of Portland, Oregon",Portland,1985,1992,1931,54
http://www.wikidata.org/entity/Q4984846,Buddy Dyer,1958-08-07 00:00:00+00:00,male,Democratic Party,2003-03-01 00:00:00+00:00,2005-03-11 00:00:00+00:00,"Mayor of Orlando, Florida",Orlando,2003,2005,1958,45
http://www.wikidata.org/entity/Q881585,Burnet R. Maybank,1899-03-07 00:00:00+00:00,male,Democratic Party,1931-12-14 00:00:00+00:00,1938-12-27 00:00:00+00:00,"Mayor of Charleston, South Carolina",Charleston,1931,1938,1899,32
http://www.wikidata.org/entity/Q1210194,Byron Brown,1958-09-24 00:00:00+00:00,male,Democratic Party,2006-01-01 00:00:00+00:00,2024-10-15 00:00:00+00:00,"Mayor of Buffalo, New York",Buffalo,2006,2024,1958,48
http://www.wikidata.org/entity/Q5004419,Byron Mallott,1943-04-06 00:00:00+00:00,male,Democratic Party,1994-01-01 00:00:00+00:00,1995-01-01 00:00:00+00:00,"Mayor of Juneau, Alaska",Juneau,1994,1995,1943,51
http://www.wikidata.org/entity/Q5006381,C. David Baker,1953-02-16 00:00:00+00:00,male,California Republican Party,1985-07-09 00:00:00+00:00,1986-07-08 00:00:00+00:00,"Mayor of Irvine, California",Irvine,1985,1986,1953,32
http://www.wikidata.org/entity/Q36023,Calvin Coolidge,1872-07-04 00:00:00+00:00,male,Republican Party,1910-01-03 00:00:00+00:00,1912-01-01 00:00:00+00:00,"Mayor of Northampton, Massachusetts",Northampton,1910,1912,1872,38
http://www.wikidata.org/entity/Q63119719,Carey Wentworth Styles,1825-10-07 00:00:00+00:00,male,Democratic Party,1858-01-01 00:00:00+00:00,1860-01-01 00:00:00+00:00,"Mayor of Brunswick, Georgia",Brunswick,1858,1860,1825,33
http://www.wikidata.org/entity/Q5040847,Carl Stokes,1927-06-21 00:00:00+00:00,male,Democratic Party,1968-01-01 00:00:00+00:00,1971-01-01 00:00:00+00:00,mayor of Cleveland,Cleveland,1968,1971,1927,41
http://www.wikidata.org/entity/Q5040993,Carl Zeidler,1908-01-04 00:00:00+00:00,male,Democratic Party,1940-04-01 00:00:00+00:00,1942-12-11 00:00:00+00:00,Mayor of Milwaukee,Milwaukee,1940,1942,1908,32
http://www.wikidata.org/entity/Q5045327,Carolyn Comitta,1952-04-27 00:00:00+00:00,female,Democratic Party,2010-01-04 00:00:00+00:00,2017-04-12 00:00:00+00:00,"Mayor of West Chester, Pennsylvania",West Chester,2010,2017,1952,58
http://www.wikidata.org/entity/Q295333,Carter Harrison III,1825-02-15 00:00:00+00:00,male,Democratic Party,1879-01-01 00:00:00+00:00,1887-01-01 00:00:00+00:00,Mayor of Chicago,Chicago,1879,1887,1825,54
http://www.wikidata.org/entity/Q294843,Carter Harrison IV,1860-04-23 00:00:00+00:00,male,Democratic Party,1897-01-01 00:00:00+00:00,1905-01-01 00:00:00+00:00,Mayor of Chicago,Chicago,1897,1905,1860,37
http://www.wikidata.org/entity/Q17986013,Cassius Aurelius Boone,1850-02-02 00:00:00+00:00,male,Democratic Party,1882-01-01 00:00:00+00:00,1883-01-01 00:00:00+00:00,"Mayor of Orlando, Florida",Orlando,1882,1883,1850,32
http://www.wikidata.org/entity/Q5052648,Catherine E. Pugh,1950-03-10 00:00:00+00:00,female,Democratic Party,2016-12-06 00:00:00+00:00,2019-05-02 00:00:00+00:00,Mayor of Baltimore,Baltimore,2016,2019,1950,66
